lat,lon,name,addr
32.229253,-110.873651,Kimpo Market,5595 E 5th St
32.2201947604,-110.807966404,Walmart Neighborhood Market,8640 E Broadway Blvd
32.1183835816,-110.798277855,Safeway,9050 E Valencia Rd
32.2569304445,-110.943686881,India Dukaan,2754 N Campbell Ave
32.1931367124,-110.841854597,Walmart Neighborhood Market,2550 S Kolb Rd
32.238275,-111.005408,Albertsons,1350 N Silverbell Rd (at Speedway)
32.2519651803,-111.013018483,Safeway,2140 W Grant Rd (Silverbell Rd)
32.1615606366,-110.989994961,Food City,1217 W Irvington Rd
32.3505990858,-110.973701125,Trader Joe's,7912 N Oracle Rd
32.2642767462,-110.892461374,Fry's,Arizona
32.33901128,-111.0126586,Albertsons,7300 N LA Cholla Blvd
32.23644629,-110.916461349,Nur Market International Grocery & Deli,3565 E Speedway Blvd Ste 171 (Richey Blvd. and Speedway Blvd.)
32.2356718231,-110.921624783,Whole Foods Market,3360 E Speedway Blvd
32.2935724247,-111.01267502,Walmart Neighborhood Market,2175 W Ruthrauff Rd
32.2502503085,-110.984971157,costco,Tucson AZ 85745
32.1615087914,-110.941748431,Food City,Tucson AZ
32.2342881964,-110.82550411,Frys,7812 E Speedway Blvd
32.2509181134,-110.839133263,Safeway,7177 E Tanque Verde Rd
32.1894179366,-110.970220004,Food city,6th and I-10
32.251719521,-110.969934762,Frys,555 E Grant Rd
32.2358832167,-110.907744,Babylon Market,3954 E Speedway Blvd (N. Longfellow Ave.)
32.242242047,-110.902199912,Sandyi Oriental Market,4270 E Pima St (Pima and Columbus)
32.2052012366,-110.842395931,Frys,7050 E 22nd St (Kolb)
32.3488236537,-110.978393555,Walmart Neighborhood Market,7951 N Oracle Rd
32.3366687698,-110.978183516,Whole Foods Market,7133 N Oracle Rd (at W. Ina Rd.)
32.24921414,-110.8509948,Albertsons,6600 E Grant Rd
32.2054622579,-110.904307124,Fry's Food Store,4150 E 22nd St (Alvernon)
32.1050116543,-110.773945183,Fry's Food Store,8080 S Houghton Rd (E Rita Rd)
32.1800354781,-110.94767439,Tucson Marketplace,Arizona
32.3384183639,-111.045496404,Frys,3770 W Ina Rd
32.1474909571,-110.934035403,Walmart Neighborhood Market,2565 E Commerce Center Pl
32.3242364349,-110.931316934,AJ's Fine Foods,2805 E Skyline Dr (at N. Campbell Ave.)
32.22352343,-110.9189878,Walmart Supercenter,3435 E Broadway Blvd
32.2588060343,-110.797169156,Safeway,9125 E Tanque Verde Rd (at E Catalina HY)
32.2513170636,-110.962279815,Fry's Food Store,555 E Grant Rd (at 1st Ave)
32.2652829565,-110.960638227,FoodCity,719 E Fort Lowell Rd (first ave)
32.2222773051,-110.824805625,Sprouts Farmers Market,7877 E Broadway Blvd (Pantano)
32.3499625216,-111.099689576,Frys,7870 N Silverbell Rd (Cortaro and silverbell)
32.280475,-110.959682,Fry's Food Store,4036 N 1st Ave (at Roger Rd)
32.2062949323,-110.874113743,Walmart Neighborhood Market,5500 E 22nd St
32.2509907021,-110.972658992,Grantstone Supermarket,8 W Grant Rd (at Stone Ave)
32.1867691861,-110.967303552,Fry's MarketPlace,Arizona
32.2194061279,-110.951202393,La Tortilla,Tucson AZ 85719
32.3359617669,-110.975203016,Safeway,7110 N Oracle Rd (at W. Ina Rd)
32.1853393719,-110.879189588,Fry's Food Store,2001 E Irvington Rd
32.283609,-110.94467132,Trader Joe's,4209 N Campbell Ave (at E Limberlost Dr)
32.326177129,-111.049175602,Costco Wholesale,3901 W Costco Dr (at Thornydale)
32.1652579586,-110.982281711,Fry's Food Store,902 W Irvington Rd
32.1328285909,-111.026436878,Walmart Neighborhood Market,2823 W Valencia Rd
32.1044615387,-110.773515701,Fry's Gas Station,8100 S Houghton Rd (E Rita Rd)
32.1859822897,-111.091585832,Tina's Country Market,Tucson AZ 85713
